Type, Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,SWOHEBKLEAFDAL201,Ethernet52/1,10.215.4.73/31,spine,SWOHESPINEDAL201,Ethernet13/1,10.215.4.72/31
l3leaf,SWOHEBKLEAFDAL201,Ethernet53/1,10.215.4.75/31,spine,SWOHESPINEDAL202,Ethernet13/1,10.215.4.74/31
l3leaf,SWOHEBKLEAFDAL201,Ethernet54/1,10.215.4.77/31,spine,SWOHESPINEDAL203,Ethernet13/1,10.215.4.76/31
l3leaf,SWOHEBKLEAFDAL202,Ethernet52/1,10.215.4.79/31,spine,SWOHESPINEDAL201,Ethernet14/1,10.215.4.78/31
l3leaf,SWOHEBKLEAFDAL202,Ethernet53/1,10.215.4.81/31,spine,SWOHESPINEDAL202,Ethernet14/1,10.215.4.80/31
l3leaf,SWOHEBKLEAFDAL202,Ethernet54/1,10.215.4.83/31,spine,SWOHESPINEDAL203,Ethernet14/1,10.215.4.82/31
l3leaf,SWOHEBLEAFDAL201,Ethernet52/1,10.215.4.85/31,spine,SWOHESPINEDAL203,Ethernet60/1,10.215.4.84/31
l3leaf,SWOHEBLEAFDAL201,Ethernet53/1,10.215.4.87/31,spine,SWOHESPINEDAL202,Ethernet60/1,10.215.4.86/31
l3leaf,SWOHEBLEAFDAL201,Ethernet54/1,10.215.4.89/31,spine,SWOHESPINEDAL201,Ethernet60/1,10.215.4.88/31
l3leaf,SWOHEBLEAFDAL221,Ethernet28/1,10.215.4.91/31,spine,SWOHESPINEDAL203,Ethernet62/1,10.215.4.90/31
l3leaf,SWOHEBLEAFDAL221,Ethernet29/1,10.215.4.93/31,spine,SWOHESPINEDAL202,Ethernet62/1,10.215.4.92/31
l3leaf,SWOHEBLEAFDAL221,Ethernet30/1,10.215.4.95/31,spine,SWOHESPINEDAL201,Ethernet62/1,10.215.4.94/31
l3leaf,SWOHEBLEAFDAL222,Ethernet28/1,10.215.4.97/31,spine,SWOHESPINEDAL203,Ethernet61/1,10.215.4.96/31
l3leaf,SWOHEBLEAFDAL222,Ethernet29/1,10.215.4.99/31,spine,SWOHESPINEDAL202,Ethernet61/1,10.215.4.98/31
l3leaf,SWOHEBLEAFDAL222,Ethernet30/1,10.215.4.101/31,spine,SWOHESPINEDAL201,Ethernet61/1,10.215.4.100/31
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet25/1,10.215.4.1/31,spine,SWOHESPINEDAL201,Ethernet1/1,10.215.4.0/31
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet26/1,10.215.4.3/31,spine,SWOHESPINEDAL201,Ethernet2/1,10.215.4.2/31
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet27/1,10.215.4.5/31,spine,SWOHESPINEDAL202,Ethernet1/1,10.215.4.4/31
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet28/1,10.215.4.7/31,spine,SWOHESPINEDAL202,Ethernet2/1,10.215.4.6/31
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet29/1,10.215.4.9/31,spine,SWOHESPINEDAL203,Ethernet1/1,10.215.4.8/31
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet30/1,10.215.4.11/31,spine,SWOHESPINEDAL203,Ethernet2/1,10.215.4.10/31
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet25/1,10.215.4.13/31,spine,SWOHESPINEDAL201,Ethernet3/1,10.215.4.12/31
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet26/1,10.215.4.15/31,spine,SWOHESPINEDAL201,Ethernet4/1,10.215.4.14/31
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet27/1,10.215.4.17/31,spine,SWOHESPINEDAL202,Ethernet3/1,10.215.4.16/31
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet28/1,10.215.4.19/31,spine,SWOHESPINEDAL202,Ethernet4/1,10.215.4.18/31
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet29/1,10.215.4.21/31,spine,SWOHESPINEDAL203,Ethernet3/1,10.215.4.20/31
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet30/1,10.215.4.23/31,spine,SWOHESPINEDAL203,Ethernet4/1,10.215.4.22/31
l3leaf,SWOHEHWLEAFPOD1DAL201,Ethernet25/1,10.215.4.25/31,spine,SWOHESPINEDAL201,Ethernet5/1,10.215.4.24/31
l3leaf,SWOHEHWLEAFPOD1DAL201,Ethernet26/1,10.215.4.27/31,spine,SWOHESPINEDAL201,Ethernet6/1,10.215.4.26/31
l3leaf,SWOHEHWLEAFPOD1DAL201,Ethernet27/1,10.215.4.29/31,spine,SWOHESPINEDAL202,Ethernet5/1,10.215.4.28/31
l3leaf,SWOHEHWLEAFPOD1DAL201,Ethernet28/1,10.215.4.31/31,spine,SWOHESPINEDAL202,Ethernet6/1,10.215.4.30/31
l3leaf,SWOHEHWLEAFPOD1DAL201,Ethernet29/1,10.215.4.33/31,spine,SWOHESPINEDAL203,Ethernet5/1,10.215.4.32/31
l3leaf,SWOHEHWLEAFPOD1DAL201,Ethernet30/1,10.215.4.35/31,spine,SWOHESPINEDAL203,Ethernet6/1,10.215.4.34/31
l3leaf,SWOHEHWLEAFPOD1DAL202,Ethernet25/1,10.215.4.37/31,spine,SWOHESPINEDAL201,Ethernet7/1,10.215.4.36/31
l3leaf,SWOHEHWLEAFPOD1DAL202,Ethernet26/1,10.215.4.39/31,spine,SWOHESPINEDAL201,Ethernet8/1,10.215.4.38/31
l3leaf,SWOHEHWLEAFPOD1DAL202,Ethernet27/1,10.215.4.41/31,spine,SWOHESPINEDAL202,Ethernet7/1,10.215.4.40/31
l3leaf,SWOHEHWLEAFPOD1DAL202,Ethernet28/1,10.215.4.43/31,spine,SWOHESPINEDAL202,Ethernet8/1,10.215.4.42/31
l3leaf,SWOHEHWLEAFPOD1DAL202,Ethernet29/1,10.215.4.45/31,spine,SWOHESPINEDAL203,Ethernet7/1,10.215.4.44/31
l3leaf,SWOHEHWLEAFPOD1DAL202,Ethernet30/1,10.215.4.47/31,spine,SWOHESPINEDAL203,Ethernet8/1,10.215.4.46/31
l3leaf,SWOHENFLEAFDAL201,Ethernet49/1,10.215.4.49/31,spine,SWOHESPINEDAL201,Ethernet9/1,10.215.4.48/31
l3leaf,SWOHENFLEAFDAL201,Ethernet50/1,10.215.4.51/31,spine,SWOHESPINEDAL201,Ethernet10/1,10.215.4.50/31
l3leaf,SWOHENFLEAFDAL201,Ethernet51/1,10.215.4.53/31,spine,SWOHESPINEDAL202,Ethernet9/1,10.215.4.52/31
l3leaf,SWOHENFLEAFDAL201,Ethernet52/1,10.215.4.55/31,spine,SWOHESPINEDAL202,Ethernet10/1,10.215.4.54/31
l3leaf,SWOHENFLEAFDAL201,Ethernet53/1,10.215.4.57/31,spine,SWOHESPINEDAL203,Ethernet9/1,10.215.4.56/31
l3leaf,SWOHENFLEAFDAL201,Ethernet54/1,10.215.4.59/31,spine,SWOHESPINEDAL203,Ethernet10/1,10.215.4.58/31
l3leaf,SWOHENFLEAFDAL202,Ethernet49/1,10.215.4.61/31,spine,SWOHESPINEDAL201,Ethernet11/1,10.215.4.60/31
l3leaf,SWOHENFLEAFDAL202,Ethernet50/1,10.215.4.63/31,spine,SWOHESPINEDAL201,Ethernet12/1,10.215.4.62/31
l3leaf,SWOHENFLEAFDAL202,Ethernet51/1,10.215.4.65/31,spine,SWOHESPINEDAL202,Ethernet11/1,10.215.4.64/31
l3leaf,SWOHENFLEAFDAL202,Ethernet52/1,10.215.4.67/31,spine,SWOHESPINEDAL202,Ethernet12/1,10.215.4.66/31
l3leaf,SWOHENFLEAFDAL202,Ethernet53/1,10.215.4.69/31,spine,SWOHESPINEDAL203,Ethernet11/1,10.215.4.68/31
l3leaf,SWOHENFLEAFDAL202,Ethernet54/1,10.215.4.71/31,spine,SWOHESPINEDAL203,Ethernet12/1,10.215.4.70/31
