Type, Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,SWOHEHWLEAFPOD1DAL102,Ethernet27/1,10.214.4.41/31,spine,SWOHESPINEDAL102,Ethernet7/1,10.214.4.40/31
l3leaf,SWOHEHWLEAFPOD1DAL102,Ethernet28/1,10.214.4.43/31,spine,SWOHESPINEDAL102,Ethernet8/1,10.214.4.42/31
l3leaf,SWOHEHWLEAFPOD1DAL102,Ethernet29/1,10.214.4.45/31,spine,SWOHESPINEDAL103,Ethernet7/1,10.214.4.44/31
l3leaf,SWOHEHWLEAFPOD1DAL102,Ethernet30/1,10.214.4.47/31,spine,SWOHESPINEDAL103,Ethernet8/1,10.214.4.46/31
l3leaf,SWOHENFLEAFDAL101,Ethernet49/1,10.214.4.49/31,spine,SWOHESPINEDAL101,Ethernet9/1,10.214.4.48/31
l3leaf,SWOHENFLEAFDAL101,Ethernet50/1,10.214.4.51/31,spine,SWOHESPINEDAL101,Ethernet10/1,10.214.4.50/31
l3leaf,SWOHENFLEAFDAL101,Ethernet51/1,10.214.4.53/31,spine,SWOHESPINEDAL102,Ethernet9/1,10.214.4.52/31
l3leaf,SWOHENFLEAFDAL101,Ethernet52/1,10.214.4.55/31,spine,SWOHESPINEDAL102,Ethernet10/1,10.214.4.54/31
l3leaf,SWOHENFLEAFDAL101,Ethernet53/1,10.214.4.57/31,spine,SWOHESPINEDAL103,Ethernet9/1,10.214.4.56/31
l3leaf,SWOHENFLEAFDAL101,Ethernet54/1,10.214.4.59/31,spine,SWOHESPINEDAL103,Ethernet10/1,10.214.4.58/31
l3leaf,SWOHENFLEAFDAL102,Ethernet49/1,10.214.4.61/31,spine,SWOHESPINEDAL101,Ethernet11/1,10.214.4.60/31
l3leaf,SWOHENFLEAFDAL102,Ethernet50/1,10.214.4.63/31,spine,SWOHESPINEDAL101,Ethernet12/1,10.214.4.62/31
l3leaf,SWOHENFLEAFDAL102,Ethernet51/1,10.214.4.65/31,spine,SWOHESPINEDAL102,Ethernet11/1,10.214.4.64/31
l3leaf,SWOHENFLEAFDAL102,Ethernet52/1,10.214.4.67/31,spine,SWOHESPINEDAL102,Ethernet12/1,10.214.4.66/31
l3leaf,SWOHENFLEAFDAL102,Ethernet53/1,10.214.4.69/31,spine,SWOHESPINEDAL103,Ethernet11/1,10.214.4.68/31
l3leaf,SWOHENFLEAFDAL102,Ethernet54/1,10.214.4.71/31,spine,SWOHESPINEDAL103,Ethernet12/1,10.214.4.70/31
