Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
l3leaf,SWOHEBKLEAFDAL101,Ethernet52/1,spine,SWOHESPINEDAL101,Ethernet13/1
l3leaf,SWOHEBKLEAFDAL101,Ethernet53/1,spine,SWOHESPINEDAL102,Ethernet13/1
l3leaf,SWOHEBKLEAFDAL101,Ethernet54/1,spine,SWOHESPINEDAL103,Ethernet13/1
l3leaf,SWOHEBKLEAFDAL101,Ethernet55/1,mlag_peer,SWOHEBKLEAFDAL102,Ethernet55/1
l3leaf,SWOHEBKLEAFDAL101,Ethernet56/1,mlag_peer,SWOHEBKLEAFDAL102,Ethernet56/1
l3leaf,SWOHEBKLEAFDAL102,Ethernet52/1,spine,SWOHESPINEDAL101,Ethernet14/1
l3leaf,SWOHEBKLEAFDAL102,Ethernet53/1,spine,SWOHESPINEDAL102,Ethernet14/1
l3leaf,SWOHEBKLEAFDAL102,Ethernet54/1,spine,SWOHESPINEDAL103,Ethernet14/1
l3leaf,SWOHEBKLEAFDAL102,Ethernet55/1,mlag_peer,SWOHEBKLEAFDAL101,Ethernet55/1
l3leaf,SWOHEBKLEAFDAL102,Ethernet56/1,mlag_peer,SWOHEBKLEAFDAL101,Ethernet56/1
l3leaf,SWOHEBLEAFDAL101,Ethernet1,,,
l3leaf,SWOHEBLEAFDAL101,Ethernet3,router,IX_FW,tex-txdc-mpls-01 Te2/1
l3leaf,SWOHEBLEAFDAL101,Ethernet4,router,SCUSA_WHITE_PRO,RCH02-11.05-OBM-AGG Twe1/0/47
l3leaf,SWOHEBLEAFDAL101,Ethernet5,router,SCUSA_WHITE_PRO,RCH02-11.05-OBM-AGG Twe2/0/47
l3leaf,SWOHEBLEAFDAL101,Ethernet52/1,spine,SWOHESPINEDAL103,Ethernet60/1
l3leaf,SWOHEBLEAFDAL101,Ethernet53/1,spine,SWOHESPINEDAL102,Ethernet60/1
l3leaf,SWOHEBLEAFDAL101,Ethernet54/1,spine,SWOHESPINEDAL101,Ethernet60/1
l3leaf,SWOHEBLEAFDAL101,Ethernet55/1,other,SWOHEBLEAFDAL201,Ethernet55/1
l3leaf,SWOHEBLEAFDAL101,Ethernet56/1,other,SWOHEBLEAFDAL201,Ethernet56/1
l3leaf,SWOHEBLEAFDAL121,Ethernet28/1,spine,SWOHESPINEDAL101,Ethernet62/1
l3leaf,SWOHEBLEAFDAL121,Ethernet29/1,spine,SWOHESPINEDAL102,Ethernet62/1
l3leaf,SWOHEBLEAFDAL121,Ethernet30/1,spine,SWOHESPINEDAL103,Ethernet62/1
l3leaf,SWOHEBLEAFDAL121,Ethernet31/1,other,SWOHEBLEAFDAL221,Ethernet31/1
l3leaf,SWOHEBLEAFDAL121,Ethernet32/1,other,SWOHEBLEAFDAL221,Ethernet32/1
l3leaf,SWOHEBLEAFDAL122,Ethernet28/1,spine,SWOHESPINEDAL101,Ethernet61/1
l3leaf,SWOHEBLEAFDAL122,Ethernet29/1,spine,SWOHESPINEDAL102,Ethernet61/1
l3leaf,SWOHEBLEAFDAL122,Ethernet30/1,spine,SWOHESPINEDAL103,Ethernet61/1
l3leaf,SWOHEBLEAFDAL122,Ethernet31/1,other,SWOHEBLEAFDAL222,Ethernet31/1
l3leaf,SWOHEBLEAFDAL122,Ethernet32/1,other,SWOHEBLEAFDAL222,Ethernet32/1
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet1/1,server,Frame3,VC6 Q1
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet2/1,server,Frame3,VC3 Q1
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet3/1,server,Frame2,VC6 Q1
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet4/1,server,Frame2,VC3 Q1
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet5/1,server,Frame1,VC6 Q1
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet6/1,server,Frame1,VC3 Q1
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet7/1,server,Frame6,VC6 Q1
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet8/1,server,Frame6,VC3 Q1
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet9/1,server,Frame5,VC6 Q1
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet10/1,server,Frame5,VC3 Q1
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet11/1,server,Frame4,VC6 Q1
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet12/1,server,Frame4,VC3 Q1
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet13/1,server,Frame9,VC6 Q1
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet14/1,server,Frame9,VC3 Q1
